,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,Manufacture Method,Material Ratio PbI2:Cation,Time(s)
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,180
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,220
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,240
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,260
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,280
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,300
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,340
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,360
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,380
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,420
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,440
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,460
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,480
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,500
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,520
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,540
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,560
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,580
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,600
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,620
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,640
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,660
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,680
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,700
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,720
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,740
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,760
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,780
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,800
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,820
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,840
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,860
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,880
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,900
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,920
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,940
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,960
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,980
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,1000
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,1020
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,1040
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,1060
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,1080
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,1100
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,1120
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,1140
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,1160
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.65,1180
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,60
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,80
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,100
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,140
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,160
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,180
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,220
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,240
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,260
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,280
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,300
C16H15NO4,2.076,819.117,14.56,11.517,11.517,10.148,7.258,7.258,5.728,5.728,4.446,4.446,3.595,3.595,11.595,9.589,5.563,5.583,49.722,17.317,0,6.066,4.9,9.524,285.1,0.375,-2.3,21,270.179,94568.643,12.441,4.347,1.766,120.338,11.849,0.477,11.849,0.351,0.293,0.351,-1.237,-0.477,2.19,78.298,285.299,1,5,0,2,2,1,1,2,4,1,5,1,108,1,0.7,340
